=== FILE: Background.output000000001.wav.3dfetemi.ingestion-84f9b89597-pnvsl.wav ===
Timestamp_ms,Peak,Mean,CV
1680.0,543.4531,509.6748,0.0222
1700.0,547.9375,509.2126,0.0243
1720.0,540.8125,509.7652,0.024
1740.0,539.5938,509.6674,0.0254
1760.0,543.875,509.9316,0.0216
1780.0,541.6875,509.2802,0.0264
1800.0,541.0938,509.1999,0.023
1820.0,548.1094,509.5718,0.0278
1840.0,554.1094,509.6082,0.0278
1860.0,542.2969,509.5081,0.0265
1880.0,540.3125,509.1493,0.0221
1900.0,541.5938,509.8101,0.0231
1920.0,543.7031,509.6774,0.0272
1940.0,540.3594,509.5259,0.0249
1960.0,546.2344,508.9542,0.0294
1980.0,546.375,509.5622,0.0258
2000.0,559.75,509.1736,0.0361
2020.0,562.0625,509.9383,0.0366
2040.0,565.0312,509.1548,0.0396
2060.0,557.4219,509.2256,0.0323
2080.0,549.7969,509.7333,0.0292
2100.0,548.5,509.6182,0.0267
2120.0,553.1406,509.0652,0.0279
2140.0,548.8281,509.4684,0.0231
2160.0,556.6875,509.9886,0.0276
2180.0,547.4844,509.2443,0.0273
2200.0,544.9375,509.7075,0.0271
2220.0,547.0781,508.966,0.0273
2240.0,548.7969,509.7618,0.0281
2260.0,539.9219,509.6584,0.0227
2280.0,538.9688,509.315,0.0233
2300.0,543.125,509.0763,0.0232
2320.0,552.4844,510.2056,0.0288
2340.0,540.9531,509.4202,0.0216
2360.0,541.5938,509.6338,0.0259
2380.0,538.4844,509.1026,0.0256
2400.0,555.5,510.2142,0.0281
2420.0,547.2188,508.7748,0.0269
2440.0,542.6094,509.9069,0.0255
2460.0,538.3125,508.9338,0.025
2480.0,545.625,509.7623,0.0266
2500.0,540.9219,509.3599,0.0241
2520.0,551.0625,509.6394,0.0237
2540.0,543.0469,509.953,0.0244
2560.0,542.3125,508.623,0.0239
2580.0,548.5312,509.7754,0.0231
2600.0,555.5156,509.72,0.0262
2620.0,542.5469,509.1652,0.0256
2640.0,554.1406,509.471,0.0265
2660.0,537.9844,509.4258,0.0247
2680.0,541.9688,509.6302,0.0236
2700.0,554.9688,509.1308,0.0268
2720.0,541.2344,509.717,0.0243
2740.0,545.8906,509.7627,0.0262
2760.0,546.7344,509.2286,0.0227
2780.0,543.9688,509.4345,0.0263
2800.0,531.0781,509.3011,0.0226
2820.0,545.5156,509.7406,0.0241
2840.0,537.2188,509.3112,0.0235
2860.0,534.2812,509.8943,0.0232
2880.0,543.2188,509.0443,0.0225
2900.0,557.3594,509.6324,0.0245
2920.0,537.7344,509.2654,0.0213
2940.0,552.375,509.5534,0.0247
2960.0,550.5469,509.6056,0.0276
2980.0,540.8906,509.6008,0.0235
3000.0,560.9375,509.9998,0.0305

=== FILE: Background.output000000016.wav.3dfeumir.ingestion-84f9b89597-kbmgb.wav ===
Timestamp_ms,Peak,Mean,CV
20.0,537.6562,510.9664,0.0183
40.0,536.6719,510.91,0.0192
60.0,543.125,510.9904,0.0223
80.0,544.3594,510.9958,0.0239
100.0,534.3906,511.1948,0.0168
120.0,532.0312,510.7319,0.0174
140.0,534.1406,511.5537,0.0142
160.0,531.6406,510.9016,0.0129
180.0,540.1719,510.9144,0.0167
200.0,540.8125,510.9354,0.0165
220.0,540.3281,511.1828,0.0212
240.0,540.2969,511.1166,0.0216
260.0,542.8594,510.8964,0.0226
280.0,538.9688,511.5852,0.0191
300.0,538.6094,511.0375,0.0159
320.0,529.4219,511.1858,0.0149
340.0,530.9219,510.984,0.013
360.0,535.2031,511.076,0.0166
380.0,547.2031,511.075,0.0177
400.0,540.6719,511.3042,0.0232
420.0,540.5781,511.3846,0.0173
440.0,542.2344,511.3966,0.0185
460.0,542.6406,511.2318,0.0205
480.0,544.5312,511.3902,0.0155
500.0,537.3594,511.4044,0.0169
520.0,532.3281,511.1477,0.0133
540.0,534.1875,511.41,0.0161
560.0,546.0312,511.09,0.022
580.0,538.3438,511.117,0.0191
600.0,536.7344,511.0858,0.0186
620.0,531.1875,511.1116,0.0166
640.0,533.9062,510.9586,0.018
660.0,535.1406,511.0872,0.0155
680.0,546.9531,511.1757,0.0221
700.0,542.8125,510.9786,0.0185
720.0,534.5781,510.9338,0.0165
740.0,532.6719,511.5526,0.0148
760.0,542.875,511.0154,0.0185
780.0,539.6875,511.1666,0.0229
800.0,531.7656,511.0192,0.0161
820.0,532.2969,511.2687,0.015
840.0,537.1562,511.1402,0.0157
860.0,550.7969,511.187,0.0249
880.0,538.1875,511.387,0.0178
900.0,530.75,510.3608,0.016
920.0,532.9688,511.5692,0.0162
940.0,542.4688,510.9422,0.0242
960.0,535.6406,511.3398,0.0155
980.0,529.1719,511.2971,0.0126
