SOUND=sounds/glass1.wav
[ms] | AMP | [ISI] - czas miedzy spike'ami | SPIKES_total
Wyslano: 95 | Arduino: 8971 | 45 | 107374 | 345
Wyslano: 71 | Arduino: 8991 | 41 | 112313 | 345
Wyslano: 59 | Arduino: 9012 | 37 | 118035 | 345
Wyslano: 59 | Arduino: 9032 | 34 | 123650 | 345
Wyslano: 63 | Arduino: 9053 | 33 | 127534 | 345
Wyslano: 43 | Arduino: 9073 | 29 | 133523 | 345
Wyslano: 47 | Arduino: 9094 | 27 | 138859 | 346
Wyslano: 35 | Arduino: 9114 | 24 | 145196 | 346
Wyslano: 31 | Arduino: 9134 | 21 | 152439 | 346
Wyslano: 27 | Arduino: 9154 | 18 | 160606 | 346
Wyslano: 23 | Arduino: 9174 | 16 | 168140 | 346
Wyslano: 16 | Arduino: 9204 | 12 | 179799 | 346
Wyslano: 11 | Arduino: 9225 | 10 | 0 | 346
Wyslano: 7 | Arduino: 9245 | 8 | 0 | 346
Wyslano: 3 | Arduino: 9266 | 6 | 0 | 346
Wyslano: 3 | Arduino: 9286 | 4 | 0 | 346
Wyslano: 3 | Arduino: 9307 | 3 | 0 | 346
Wyslano: 7 | Arduino: 9327 | 3 | 0 | 346
Wyslano: 0 | Arduino: 9347 | 3 | 0 | 346
Wyslano: 0 | Arduino: 9367 | 2 | 0 | 346
Dzwiek sounds/glass1.wav wywolal 346 spike'ow
